;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11
N1;0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
N4;0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 
N6;0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 
N11;0; 0; 1; 1; 0; 1; 0; 1; 0; 0; 0; 
N14;0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
N18;0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 
N22;0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 
N24;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
N26;0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 
N27;0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
N33;0; 0; 1; 1; 0; 1; 0; 0; 1; 0; 0; 
N35;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
N37;0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 1; 
N39;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
N43;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
N52;0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
N74;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
N100;0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 
N102;0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
N110;0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 1; 
N120;0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
N139;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
