;University;Home;Transportation;Morning;Coffe break;Lunch break;Afternoon;Evening;Weekend
Agenda;0; 1; 0; 0; 0; 0; 0; 1; 0; 
Calculatrice;0; 1; 0; 0; 0; 0; 0; 1; 0; 
Eurosport;0; 0; 1; 0; 0; 0; 0; 1; 0; 
Facebook;0; 1; 0; 1; 1; 1; 0; 1; 0; 
Flappy Bird;0; 0; 1; 1; 1; 1; 1; 0; 0; 
Gmail;1; 0; 0; 0; 0; 1; 0; 0; 0; 
Google;0; 0; 0; 1; 0; 1; 1; 1; 0; 
LINE;0; 1; 0; 0; 0; 0; 0; 0; 0; 
Puzzle&Dragons;0; 0; 0; 0; 0; 1; 0; 0; 1; 
Sotchi 2014;0; 0; 1; 1; 0; 0; 1; 0; 0; 
Twitter;1; 0; 0; 1; 1; 1; 1; 1; 1; 
