;University;Train station;Restaurant;Home;Transportation;Company;Library;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Weekend
Agenda;1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
Alarme;0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 
Angry Birds;1; 1; 0; 1; 1; 0; 0; 0; 1; 1; 1; 1; 1; 1; 
Appareil photo;0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 
Calculatrice;1; 0; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
Calendrier;1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
Earth;1; 1; 0; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
E-mail;1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
Facebook;1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
Gestion de taches;1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
Gmail;1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
Google;1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
Google Play Store;0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 
IMDb;1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
Jeux Android avec connexion;1; 0; 0; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
Jeux Android sans connexion;1; 1; 0; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 0; 
Lecteur video;0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 
Maps;1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
Mes fichiers;1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
Meteo;1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
Mise a jour logicielle;0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 
Parametres;1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
Polaris Office;1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
Quran;0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 0; 
Samsung Apps;0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 
Skype;0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 
SMS;1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
Telephone;1; 1; 1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 
World;0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 
YouTube;0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 
