;University;Train station;Cinema;Restaurant;Transportation;Network 3G;Public Wifi;Univ Wifi;Morning;Lunch break;Afternoon;Evening;Night;Weekend;Smartphone Samsung
8tracks;1; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 
Alarme;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
AlloCine;0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 1; 
Appareil photo;1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 
AppyGeek;0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Boost eclair;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 
Google;0; 1; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Eurosport;0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 0; 0; 1; 
Facebook;0; 0; 1; 1; 0; 0; 1; 0; 1; 0; 1; 0; 0; 0; 1; 
Flappy Bird;1; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 
Gestion de taches;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Gestionnaire de depenses;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Gmail;0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Google Play Store;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
HorairesMey;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
IMDb;0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 
Instagram;0; 1; 0; 1; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 1; 
LCL Mobile;0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Maps;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Mes fichiers;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Notes;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
PagesJaunes;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Parametres;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Runtastic;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 1; 
SMS;0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
SnapChat;0; 0; 1; 1; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 
So Foot;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Spotify;0; 1; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 
Telephone;1; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Twitter;0; 0; 1; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 1; 
YouTube;1; 0; 0; 0; 0; 1; 1; 1; 0; 0; 0; 0; 0; 0; 1; 
