;Home;Home Wifi;Network 3G;Smartphone Samsung;Tablet
Candy Crush;0; 0; 1; 1; 0; 
E-mail;0; 1; 0; 1; 0; 
Facebook;0; 1; 0; 1; 0; 
Firefox;0; 0; 0; 1; 0; 
Flappy Bird;0; 0; 0; 1; 0; 
Flipboard;0; 1; 0; 1; 0; 
Gestion de taches;0; 0; 0; 1; 0; 
Gmail;0; 1; 0; 1; 0; 
Google Now;0; 0; 0; 1; 0; 
Google Play Store;0; 0; 0; 1; 0; 
HFR4droid;1; 1; 0; 1; 0; 
JeuxVideo.com;1; 1; 0; 1; 0; 
Maps;0; 0; 0; 1; 0; 
Mes fichiers;0; 0; 0; 1; 0; 
My Boy Free;0; 0; 0; 1; 0; 
News Republic;0; 1; 0; 1; 0; 
Parametres;0; 0; 0; 0; 1; 
SMS;0; 0; 0; 1; 0; 
Telephone;0; 0; 0; 1; 0; 
WeChat;0; 1; 0; 1; 0; 
YouTube;1; 1; 0; 1; 0; 
