;University;Home;Transportation;Street;Network 3G;Morning;Lunch break;Afternoon;Evening;Weekend;Smartphone Samsung
AlloCine;0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 
Calculatrice;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
Earth;1; 0; 0; 0; 1; 0; 0; 1; 0; 0; 1; 
Facebook;0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 
Flappy Bird;1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
Gmail;1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Google;1; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 
Google Play Store;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
Instagram;1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
Lecteur video;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
Maps;0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 
Mes fichiers;0; 0; 1; 0; 0; 1; 1; 0; 1; 0; 0; 
Mise a jour logicielle;0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
Musique;0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
Navigation;0; 0; 1; 0; 1; 0; 0; 0; 1; 0; 1; 
Parametres;0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
Photos;1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
Ratp;0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
Shazam;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
SMS;0; 1; 0; 0; 0; 0; 0; 1; 0; 1; 0; 
SnapChat;0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
Telephone;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
WeChat;1; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
Wifi Analyzer;0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 
YouTube;0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
