;University;Home;Home Wifi;Network 3G;Univ Wifi;Morning;Lunch break;Evening
8tracks;0; 0; 0; 1; 0; 1; 0; 1; 
AlloCine;0; 1; 1; 0; 0; 0; 0; 1; 
Appareil photo;0; 1; 0; 0; 0; 0; 0; 1; 
AppyGeek;0; 0; 0; 0; 0; 1; 0; 0; 
Boost eclair;0; 1; 1; 0; 0; 0; 0; 0; 
Google;0; 1; 1; 0; 0; 0; 0; 1; 
Eurosport;0; 1; 1; 0; 0; 0; 0; 0; 
Facebook;1; 1; 1; 0; 1; 0; 0; 1; 
Flappy Bird;0; 1; 0; 0; 0; 0; 0; 1; 
Gestion de taches;0; 1; 0; 0; 0; 0; 0; 1; 
Gestionnaire de depenses;0; 1; 1; 0; 0; 0; 0; 1; 
Gmail;0; 1; 1; 0; 0; 0; 0; 1; 
HorairesMey;0; 0; 0; 1; 0; 0; 0; 0; 
IMDb;0; 0; 0; 0; 0; 0; 0; 1; 
Instagram;1; 1; 1; 0; 1; 0; 0; 1; 
LCL Mobile;1; 0; 0; 0; 1; 0; 1; 1; 
Mes fichiers;1; 0; 0; 0; 0; 0; 0; 0; 
Notes;1; 0; 0; 0; 0; 0; 0; 0; 
Parametres;0; 1; 0; 0; 0; 0; 0; 0; 
Runtastic;0; 1; 0; 1; 0; 0; 0; 0; 
SMS;0; 0; 0; 1; 0; 0; 0; 0; 
SnapChat;0; 1; 1; 0; 0; 0; 0; 1; 
So Foot;0; 0; 0; 1; 0; 0; 0; 0; 
Spotify;0; 0; 0; 0; 0; 0; 0; 1; 
Telephone;0; 0; 0; 1; 0; 0; 0; 1; 
Twitter;0; 1; 1; 0; 0; 0; 0; 0; 
YouTube;0; 1; 1; 0; 0; 0; 0; 1; 
