;University;Home;Transportation;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend
Agenda;0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
Calculatrice;0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
Eurosport;0; 0; 1; 0; 0; 1; 0; 1; 1; 0; 0; 
Facebook;0; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 
Flappy Bird;0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 
Gmail;1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
Google;0; 0; 1; 0; 1; 1; 1; 1; 1; 0; 1; 
Google Play Store;1; 1; 0; 0; 1; 0; 0; 0; 0; 1; 0; 
LINE;0; 1; 1; 0; 0; 0; 1; 0; 1; 0; 0; 
Puzzle&Dragons;1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
SMS;0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
Sotchi 2014;0; 1; 1; 0; 1; 0; 1; 1; 0; 0; 0; 
Twitter;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
