;Restaurant;Home;Street;Network 3G;Evening;Smartphone Samsung;Memory 64G
4 images 1 mot;0; 0; 0; 1; 0; 1; 0; 
AlloCine;0; 0; 0; 1; 0; 0; 0; 
Appareil photo;0; 0; 0; 0; 0; 1; 1; 
Facebook;0; 0; 0; 1; 0; 1; 0; 
Flappy Bird;0; 0; 0; 0; 0; 1; 0; 
Gmail;0; 0; 0; 1; 0; 1; 0; 
Google;0; 0; 0; 1; 0; 1; 0; 
Google Play Store;0; 0; 0; 1; 0; 1; 1; 
Instagram;0; 0; 0; 1; 0; 1; 0; 
Lecteur video;0; 0; 0; 1; 0; 1; 0; 
LINE;0; 0; 0; 1; 0; 1; 0; 
Maps;0; 0; 0; 1; 0; 1; 0; 
Mes fichiers;0; 0; 0; 0; 0; 1; 0; 
Meteo;0; 0; 0; 0; 0; 1; 0; 
Mise a jour logicielle;0; 0; 0; 0; 0; 1; 1; 
Musique;0; 0; 0; 0; 0; 1; 0; 
Photos;0; 0; 0; 0; 0; 1; 0; 
Ratp;0; 0; 0; 1; 0; 0; 0; 
Shazam;0; 0; 0; 1; 0; 1; 0; 
SMS;0; 0; 0; 0; 0; 1; 0; 
SnapChat;0; 0; 0; 1; 0; 1; 0; 
Telephone;0; 0; 1; 0; 1; 0; 0; 
Translate;0; 1; 0; 1; 0; 0; 0; 
Twitter;0; 0; 0; 1; 0; 1; 0; 
WeChat;0; 0; 0; 1; 0; 1; 0; 
WhatsApp;0; 0; 0; 1; 0; 0; 0; 
Wifi Analyzer;1; 0; 0; 0; 0; 0; 0; 
YouTube;0; 1; 0; 0; 0; 1; 0; 
