;University;Home;Transportation;Home Wifi;Network 3G;Morning;Coffe break;Lunch break;Afternoon;Evening;Weekend;Smartphone Samsung;Tablet
Alarme;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
Appareil photo;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 
Candy Crush;1; 1; 0; 1; 0; 1; 1; 0; 0; 0; 1; 0; 0; 
E-mail;1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 0; 0; 
Facebook;1; 0; 1; 0; 0; 1; 1; 1; 1; 0; 1; 0; 0; 
Firefox;1; 0; 1; 0; 0; 0; 0; 0; 1; 1; 1; 0; 0; 
Flappy Bird;0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 0; 1; 
Flipboard;1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 0; 1; 
Gestion de taches;1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 0; 0; 
Gmail;1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 0; 0; 
Google Now;1; 0; 1; 0; 0; 1; 0; 0; 1; 1; 1; 0; 0; 
Google Play Store;0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 0; 0; 
HFR4droid;1; 0; 1; 0; 1; 0; 1; 0; 1; 0; 1; 0; 0; 
JeuxVideo.com;0; 0; 1; 0; 1; 0; 0; 0; 1; 1; 1; 0; 0; 
Maps;1; 0; 0; 0; 1; 0; 0; 0; 0; 1; 1; 0; 0; 
Mes fichiers;1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Meteo;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
My Boy Free;1; 1; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 
News Republic;1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 0; 1; 
Parametres;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
Safari;0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 
Shazam;0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 1; 0; 0; 
Skype;0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 0; 0; 
SMS;0; 0; 1; 0; 0; 0; 1; 1; 1; 1; 1; 0; 0; 
Telephone;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
Waze;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 
WeChat;1; 0; 1; 0; 1; 1; 0; 0; 1; 1; 1; 0; 0; 
YouTube;1; 0; 0; 0; 1; 0; 0; 0; 1; 0; 1; 0; 1; 
