;University;Home;Restaurant;Transportation;Network 3G;Morning;Afternoon;Evening;Night;Weekend;Smartphone NokiaLumia
ABC Transport;0; 0; 0; 0; 0; 1; 0; 1; 0; 1; 0; 
Alarme;0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 1; 
AlloCine;1; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 
Appareil photo;0; 1; 0; 0; 1; 0; 0; 1; 0; 0; 1; 
Bing Spoort;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
E-mail;1; 0; 0; 0; 0; 0; 1; 1; 0; 0; 1; 
Facebook;1; 1; 0; 0; 0; 0; 1; 1; 0; 0; 0; 
Google;0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
Lequipe;0; 0; 0; 1; 1; 0; 1; 0; 0; 0; 1; 
Meteo;1; 1; 0; 0; 0; 0; 1; 1; 0; 1; 0; 
Musique;0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 
Shazam;0; 1; 0; 0; 1; 0; 1; 0; 0; 1; 1; 
SMS;1; 0; 0; 0; 0; 0; 1; 1; 1; 1; 0; 
SnapChat;1; 0; 0; 0; 1; 0; 1; 0; 0; 0; 1; 
Telephone;1; 1; 1; 0; 0; 0; 1; 1; 0; 1; 0; 
Twitter;1; 1; 0; 1; 0; 1; 1; 1; 0; 1; 0; 
YouTube;0; 0; 0; 0; 1; 0; 0; 1; 0; 1; 0; 
